x1 y1 z1 x2 y2 z2 radius R G B time type 
-1.5481 1.6515 -19.7792 -1.6256 1.6684 -19.8402 0.0500 0.4314 0.3922 0.1961 7.4412 1.0000 
-1.6256 1.6684 -19.8402 -1.6939 1.6524 -19.9114 0.0500 0.4314 0.3922 0.1961 7.5024 1.0000 
-1.6939 1.6524 -19.9114 -1.7571 1.6790 -19.9842 0.0500 0.4314 0.3922 0.1961 7.5640 1.0000 
-1.7571 1.6790 -19.9842 -1.8016 1.6534 -20.0700 0.0500 0.4314 0.3922 0.1961 7.6261 1.0000 
-1.8016 1.6534 -20.0700 -1.8615 1.6329 -20.1474 0.0500 0.4314 0.3922 0.1961 7.6886 1.0000 
-1.8615 1.6329 -20.1474 -1.9400 1.6438 -20.2084 0.0500 0.4314 0.3922 0.1961 7.7516 1.0000 
-1.9400 1.6438 -20.2084 -1.9900 1.6630 -20.2928 0.0500 0.4314 0.3922 0.1961 7.8151 1.0000 
-1.9900 1.6630 -20.2928 -2.0055 1.6829 -20.3896 0.0500 0.4314 0.3922 0.1961 7.8791 1.0000 
-2.0055 1.6829 -20.3896 -2.0064 1.7155 -20.4841 0.0500 0.4314 0.3922 0.1961 7.9436 1.0000 
-2.0064 1.7155 -20.4841 -1.9874 1.7262 -20.5817 0.0500 0.4314 0.3922 0.1961 8.0086 1.0000 
-1.9874 1.7262 -20.5817 -1.9436 1.7942 -20.6406 0.0500 0.4314 0.3922 0.1961 8.0741 1.0000 
-1.9436 1.7942 -20.6406 -1.9841 1.8707 -20.6907 0.0500 0.4314 0.3922 0.1961 8.1401 1.0000 
-1.9841 1.8707 -20.6907 -2.0070 1.8945 -20.7851 0.0500 0.4314 0.3922 0.1961 8.2066 1.0000 
-2.0070 1.8945 -20.7851 -2.0144 1.9110 -20.8835 0.0500 0.4314 0.3922 0.1961 8.2737 1.0000 
-2.0144 1.9110 -20.8835 -1.9988 1.9133 -20.9822 0.0500 0.4314 0.3922 0.1961 8.3413 1.0000 
-1.9988 1.9133 -20.9822 -1.9778 1.9161 -21.0799 0.0500 0.4314 0.3922 0.1961 8.4095 1.0000 
